Register_No,Batch,Sex,Age,Address,Mother Education,Father Education,Financial Status,SSLC marks,PUC marks,BE_marks,Number of failures,Bad habits,Study time,Activities,Sports,Health,Scholarships
4RA13CV006,13,female,24,Rural,SSLC,PUC/Diploma,Medium,76,69,69,0,Yes,3,Yes,No,Good,No
4RA13CV007,13,male,26,Urban,SSLC,PUC/Diploma,Rich,42,34,26,2,No,1,Yes,No,Good,Yes
4RA13CV008,13,female,24,Rural,SSLC,SSLC,Medium,61,59,59,0,No,2,No,Yes,Poor,Yes
4RA13CV009,13,male,24,Urban,PUC/Diploma,SSLC,Poor,59,67,52,0,No,4,No,Yes,Poor,No
4RA13CV010,13,female,24,Rural,PUC/Diploma,PUC/Diploma,Medium,83,82,72,0,Yes,5,No,No,Good,Yes
4RA13CV011,13,female,24,Rural,PUC/Diploma,PUC/Diploma,Medium,88,85,72,0,No,4,No,No,Good,No
4RA13CV012,13,male,24,Rural,Degree,SSLC,Medium,47,44,44,0,Yes,3,No,Yes,Good,Yes
4RA13CV013,13,male,24,Urban,PUC/Diploma,PUC/Diploma,Medium,75,79,75,0,No,5,Yes,Yes,Good,Yes
4RA13CV014,13,female,24,Rural,PUC/Diploma,SSLC,Rich,70,57,69,0,Yes,4,No,Yes,Good,Yes
4RA13CV015,13,female,25,Urban,SSLC,SSLC,Medium,34,53,60,1,Yes,2,No,No,Good,No
4RA13CV016,13,male,26,Rural,PUC/Diploma,SSLC,Medium,34,28,41,2,Yes,5,Yes,No,Good,No
4RA13CV017,13,male,24,Urban,PUC/Diploma,Degree,Medium,69,74,66,0,Yes,5,No,Yes,Good,Yes
4RA13CV018,13,female,24,Rural,Degree,SSLC,Poor,96,84,74,0,Yes,5,Yes,Yes,Good,No
4RA13CV019,13,male,24,Urban,SSLC,PUC/Diploma,Medium,82,80,67,0,No,3,No,No,Good,Yes
4RA13CV020,13,female,24,Rural,Degree,PUC/Diploma,Poor,63,51,40,0,Yes,5,No,Yes,Poor,No
4RA13CV021,13,female,24,Rural,Degree,PUC/Diploma,Poor,66,63,72,0,No,4,Yes,No,Poor,Yes
4RA13CV022,13,female,25,Rural,PUC/Diploma,PUC/Diploma,Medium,36,23,49,1,No,4,No,Yes,Good,No
4RA13CV024,13,male,25,Urban,SSLC,PUC/Diploma,Rich,41,31,47,1,Yes,4,No,Yes,Good,Yes
4RA13CV025,13,female,24,Urban,SSLC,SSLC,Rich,58,62,48,0,No,2,No,Yes,Good,Yes
4RA13CV026,13,male,25,Rural,PUC/Diploma,PUC/Diploma,Medium,39,29,49,1,No,3,No,Yes,Good,No
4RA13CV027,13,female,24,Urban,PUC/Diploma,PUC/Diploma,Medium,66,66,70,0,Yes,5,No,No,Good,Yes
4RA13CV028,13,female,24,Rural,PUC/Diploma,PUC/Diploma,Poor,53,38,37,0,Yes,4,No,No,Good,No
4RA13CV029,13,male,26,Rural,PUC/Diploma,SSLC,Medium,33,36,27,2,Yes,1,No,Yes,Good,Yes
4RA13CV030,13,male,24,Rural,PUC/Diploma,SSLC,Medium,82,87,81,0,Yes,5,Yes,Yes,Poor,No
4RA13CV032,13,female,24,Urban,SSLC,PUC/Diploma,Medium,58,52,58,0,No,4,No,No,Good,No
4RA13CV034,13,female,24,Rural,SSLC,SSLC,Medium,95,83,73,0,Yes,2,No,No,Good,Yes
4RA13CV035,13,male,24,Rural,PUC/Diploma,PUC/Diploma,Medium,62,57,70,0,No,3,Yes,Yes,Poor,No
4RA13CV037,13,female,24,Rural,SSLC,SSLC,Rich,82,78,76,0,Yes,1,Yes,No,Good,No
4RA13CV038,13,female,23,Rural,SSLC,SSLC,Medium,92,82,76,0,No,2,Yes,No,Good,Yes
4RA13CV039,13,female,24,Urban,SSLC,SSLC,Poor,90,75,82,0,Yes,3,Yes,No,Good,No
4RA13CV040,13,male,24,Urban,SSLC,PUC/Diploma,Medium,64,61,73,0,No,5,No,No,Poor,No
4RA13CV041,13,male,24,Rural,Degree,SSLC,Rich,59,50,35,0,Yes,1,Yes,Yes,Good,Yes
4RA13CV042,13,female,25,Rural,PUC/Diploma,PUC/Diploma,Medium,49,37,24,1,No,2,Yes,Yes,Good,No
4RA13CV043,13,male,24,Rural,SSLC,PUC/Diploma,Medium,86,77,72,0,Yes,2,Yes,Yes,Poor,No
4RA13CV044,13,male,24,Rural,SSLC,PUC/Diploma,Medium,62,56,70,0,Yes,5,Yes,Yes,Good,No
4RA13CV045,13,female,25,Rural,PUC/Diploma,Degree,Medium,76,78,69,0,Yes,2,Yes,Yes,Good,No
4RA13CV046,13,female,24,Rural,Degree,Degree,Medium,90,90,78,0,Yes,5,No,No,Good,Yes
4RA13CV047,13,female,24,Urban,PUC/Diploma,SSLC,Medium,53,55,48,0,No,2,Yes,No,Poor,Yes
4RA13CV048,13,female,24,Urban,PUC/Diploma,SSLC,Rich,62,48,51,0,No,3,Yes,No,Good,No
4RA13CV049,13,male,26,Rural,PUC/Diploma,PUC/Diploma,Medium,42,31,29,2,Yes,2,No,No,Good,No
4RA13CV050,13,female,26,Rural,SSLC,Degree,Rich,38,29,32,2,Yes,4,No,No,Good,Yes
4RA13CV051,13,female,24,Rural,SSLC,SSLC,Medium,78,76,69,0,Yes,4,No,No,Good,No
4RA13CV052,13,male,24,Urban,SSLC,SSLC,Medium,49,55,45,0,Yes,4,No,No,Good,Yes
4RA13CV053,13,male,25,Urban,SSLC,PUC/Diploma,Medium,46,37,26,1,Yes,2,No,No,Good,No
4RA13CV054,13,female,24,Urban,Degree,PUC/Diploma,Rich,86,93,83,0,No,2,Yes,Yes,Good,No
4RA13CV055,13,male,24,Urban,SSLC,Degree,Medium,90,80,76,0,No,5,Yes,No,Good,No
4RA13CV056,13,female,24,Urban,SSLC,SSLC,Rich,88,84,74,0,No,3,Yes,No,Good,Yes
4RA13CV057,13,male,25,Rural,SSLC,SSLC,Medium,50,38,34,1,No,3,No,Yes,Good,No
4RA13CV058,13,female,24,Rural,PUC/Diploma,Degree,Medium,64,50,38,0,Yes,3,Yes,Yes,Good,Yes
4RA13CV059,13,female,24,Rural,Degree,Degree,Medium,44,56,59,0,No,3,Yes,No,Poor,No
4RA13CV060,13,male,24,Rural,PUC/Diploma,PUC/Diploma,Medium,93,90,80,0,No,4,No,Yes,Poor,No
4RA13CV061,13,female,25,Rural,SSLC,Degree,Poor,39,27,43,1,Yes,2,No,Yes,Good,No
4RA13CV062,13,male,24,Urban,PUC/Diploma,SSLC,Rich,52,56,68,0,Yes,3,No,Yes,Good,Yes
4RA13CV063,13,male,24,Rural,SSLC,SSLC,Poor,87,73,69,0,Yes,3,Yes,No,Good,No
4RA13CV064,13,male,26,Urban,SSLC,SSLC,Medium,33,32,45,2,No,3,Yes,Yes,Good,No
4RA13CV065,13,female,24,Rural,SSLC,SSLC,Poor,62,55,64,0,No,4,Yes,No,Good,No
4RA13CV066,13,female,25,Urban,PUC/Diploma,SSLC,Poor,33,53,46,1,No,2,No,No,Good,No
4RA13CV067,13,male,24,Rural,SSLC,PUC/Diploma,Medium,91,81,73,0,No,2,Yes,No,Poor,Yes
4RA13CV068,13,female,24,Urban,SSLC,SSLC,Medium,80,88,83,0,Yes,1,No,Yes,Good,No
4RA13CV069,13,male,25,Rural,SSLC,SSLC,Medium,38,43,34,1,Yes,5,Yes,No,Good,Yes
4RA13CV070,13,female,24,Rural,Degree,Degree,Medium,64,60,66,0,Yes,2,No,Yes,Good,Yes
4RA13CV071,13,female,24,Rural,SSLC,SSLC,Medium,50,42,45,0,No,4,No,Yes,Good,No
4RA13CV072,13,female,24,Rural,SSLC,Degree,Medium,82,91,82,0,No,2,No,Yes,Good,Yes
4RA13CV073,13,female,26,Urban,PUC/Diploma,SSLC,Medium,36,29,28,2,Yes,4,Yes,No,Good,No
4RA13CV074,13,male,24,Urban,Degree,PUC/Diploma,Rich,94,79,79,0,No,1,No,No,Good,No
4RA13CV075,13,female,24,Urban,SSLC,Degree,Rich,68,62,47,0,No,2,No,Yes,Good,Yes
4RA13EC001,13,female,24,Urban,PUC/Diploma,PUC/Diploma,Medium,62,58,56,0,No,4,Yes,Yes,Good,Yes
4RA13EC002,13,male,24,Rural,PUC/Diploma,PUC/Diploma,Medium,68,71,69,0,No,4,Yes,Yes,Good,No
4RA13EC003,13,male,26,Urban,SSLC,SSLC,Medium,33,34,51,2,Yes,5,No,No,Good,Yes
4RA13EC004,13,female,24,Rural,PUC/Diploma,PUC/Diploma,Medium,94,79,71,0,No,5,Yes,Yes,Poor,No
4RA13EC005,13,male,24,Rural,SSLC,PUC/Diploma,Rich,78,67,64,0,No,2,Yes,No,Good,No
4RA13EC006,13,female,24,Urban,SSLC,Degree,Medium,95,91,70,0,Yes,2,Yes,No,Good,Yes
4RA13EC007,13,male,24,Urban,PUC/Diploma,PUC/Diploma,Poor,57,54,62,0,Yes,2,Yes,Yes,Good,Yes
4RA13EC008,13,female,24,Rural,SSLC,SSLC,Poor,59,74,72,0,No,5,No,Yes,Good,No
4RA13EC009,13,male,24,Urban,SSLC,PUC/Diploma,Medium,43,54,51,0,Yes,3,No,No,Good,Yes
4RA13EC010,13,male,24,Rural,PUC/Diploma,SSLC,Medium,88,80,78,0,Yes,1,No,Yes,Good,Yes
4RA13EC011,13,female,24,Rural,PUC/Diploma,PUC/Diploma,Medium,46,60,49,0,No,3,No,No,Good,No
4RA13EC012,13,male,23,Rural,PUC/Diploma,PUC/Diploma,Poor,94,93,83,0,No,3,No,Yes,Good,No
4RA13EC013,13,male,24,Urban,SSLC,SSLC,Rich,75,77,78,0,Yes,5,No,No,Poor,Yes
4RA13EC014,13,male,24,Urban,SSLC,SSLC,Medium,67,60,54,0,No,4,No,Yes,Good,No
4RA13EC015,13,female,24,Rural,Degree,SSLC,Poor,83,92,88,0,Yes,4,Yes,No,Poor,No
4RA13EC016,13,female,24,Rural,SSLC,PUC/Diploma,Rich,72,78,64,0,No,1,Yes,No,Good,Yes
4RA13EC018,13,male,24,Rural,SSLC,PUC/Diploma,Medium,88,87,70,0,Yes,2,Yes,No,Poor,No
4RA13EC019,13,female,24,Urban,SSLC,SSLC,Rich,77,62,74,0,No,3,Yes,Yes,Poor,No
4RA13EC020,13,male,24,Rural,PUC/Diploma,SSLC,Poor,65,74,78,0,No,4,Yes,No,Good,No
4RA13EC021,13,female,24,Rural,SSLC,SSLC,Medium,91,84,82,0,No,4,No,No,Good,Yes
4RA13EC022,13,male,24,Rural,SSLC,SSLC,Medium,59,68,61,0,Yes,1,No,No,Good,No
4RA13EC023,13,female,24,Rural,PUC/Diploma,Degree,Medium,77,64,57,0,No,2,No,No,Poor,Yes
4RA13EC024,13,female,24,Urban,SSLC,PUC/Diploma,Rich,92,79,75,0,No,3,Yes,No,Good,No
4RA13EC025,13,male,24,Rural,PUC/Diploma,Degree,Medium,42,44,54,0,No,3,Yes,No,Good,Yes
4RA13EC026,13,male,24,Urban,SSLC,Degree,Poor,78,63,52,0,Yes,5,Yes,Yes,Good,No
4RA13EC027,13,male,24,Urban,Degree,SSLC,Medium,36,50,52,0,No,2,Yes,No,Poor,Yes
4RA13EC028,13,female,24,Urban,SSLC,PUC/Diploma,Rich,63,62,51,0,No,2,No,Yes,Good,Yes
4RA13EC029,13,female,24,Rural,SSLC,SSLC,Medium,68,59,71,0,No,4,Yes,No,Poor,No
4RA13EC030,13,male,24,Rural,SSLC,PUC/Diploma,Rich,74,86,73,0,Yes,1,No,No,Good,Yes
4RA13EC031,13,female,24,Urban,PUC/Diploma,PUC/Diploma,Poor,50,64,66,0,Yes,1,Yes,No,Poor,Yes
4RA13EC032,13,male,24,Urban,SSLC,PUC/Diploma,Rich,60,52,48,0,No,5,No,No,Good,Yes
4RA13EC033,13,female,24,Urban,Degree,SSLC,Rich,68,60,63,0,No,1,Yes,Yes,Good,Yes
4RA13EC034,13,male,24,Urban,SSLC,PUC/Diploma,Medium,64,69,60,0,No,1,Yes,Yes,Good,No
4RA13EC035,13,male,24,Rural,SSLC,Degree,Medium,85,80,80,0,Yes,2,No,No,Good,Yes
4RA13EC036,13,male,24,Urban,SSLC,SSLC,Poor,91,88,84,0,Yes,4,Yes,No,Good,No
4RA13EC037,13,female,23,Rural,SSLC,PUC/Diploma,Medium,47,42,57,0,Yes,2,Yes,No,Poor,Yes
4RA13EC038,13,female,25,Rural,PUC/Diploma,PUC/Diploma,Poor,38,28,53,1,Yes,4,No,Yes,Good,No
4RA13EC039,13,male,25,Rural,SSLC,PUC/Diploma,Poor,59,58,52,0,Yes,5,No,No,Good,No
4RA13EC040,13,female,24,Rural,SSLC,PUC/Diploma,Medium,62,50,55,0,No,2,No,No,Poor,No
4RA13EC041,13,male,24,Rural,SSLC,SSLC,Poor,62,72,72,0,No,4,Yes,No,Poor,No
4RA13EC042,13,male,24,Urban,SSLC,SSLC,Poor,60,48,50,0,Yes,3,Yes,Yes,Good,No
4RA13EC043,13,male,26,Urban,SSLC,PUC/Diploma,Poor,34,32,49,2,Yes,4,Yes,No,Good,No
4RA13EC044,13,female,24,Urban,SSLC,Degree,Medium,65,70,69,0,No,5,Yes,Yes,Poor,Yes
4RA13EC045,13,male,25,Urban,Degree,PUC/Diploma,Poor,34,46,40,1,Yes,3,No,No,Good,No
4RA13EC046,13,male,24,Rural,SSLC,PUC/Diploma,Rich,46,58,57,0,Yes,1,No,No,Good,Yes
4RA13EC047,13,male,24,Urban,PUC/Diploma,PUC/Diploma,Medium,48,58,52,0,Yes,4,Yes,No,Good,No
4RA13EC048,13,female,24,Urban,SSLC,PUC/Diploma,Medium,94,81,78,0,Yes,3,No,Yes,Good,Yes
4RA13EC049,13,female,24,Urban,SSLC,SSLC,Rich,55,49,39,0,No,1,Yes,No,Good,Yes
4RA13EC050,13,female,24,Rural,PUC/Diploma,SSLC,Medium,68,67,54,0,No,4,No,No,Good,No
4RA13EC051,13,male,24,Rural,SSLC,Degree,Medium,92,90,76,0,Yes,3,No,Yes,Good,Yes
4RA13EC052,13,male,24,Urban,PUC/Diploma,PUC/Diploma,Medium,64,55,46,0,Yes,3,No,No,Good,No
4RA13EC053,13,male,24,Urban,PUC/Diploma,PUC/Diploma,Medium,78,84,79,0,Yes,4,Yes,No,Good,No
4RA13EC055,13,male,24,Rural,SSLC,PUC/Diploma,Medium,69,61,73,0,No,2,No,No,Poor,No
4RA13EC056,13,female,24,Urban,PUC/Diploma,PUC/Diploma,Rich,39,39,46,0,No,4,Yes,Yes,Poor,No
4RA13EC057,13,male,24,Rural,SSLC,Degree,Medium,75,79,77,0,No,1,No,No,Poor,Yes
4RA13EC058,13,male,24,Rural,Degree,Degree,Poor,65,55,58,0,Yes,5,Yes,No,Poor,Yes
4RA13EC059,13,male,24,Urban,SSLC,Degree,Poor,88,76,73,0,Yes,1,Yes,Yes,Good,No
4RA13EC060,13,male,24,Urban,Degree,Degree,Medium,81,87,78,0,No,2,Yes,No,Poor,No
4RA13EC061,13,female,24,Rural,PUC/Diploma,SSLC,Poor,90,84,76,0,No,1,No,Yes,Poor,Yes
4RA13EC062,13,male,24,Urban,SSLC,PUC/Diploma,Rich,90,81,79,0,No,1,Yes,No,Good,Yes
4RA13EC063,13,female,24,Rural,PUC/Diploma,SSLC,Rich,47,38,46,0,No,3,Yes,Yes,Good,Yes
4RA13EC064,13,male,26,Rural,SSLC,SSLC,Poor,36,30,30,2,No,3,Yes,No,Good,Yes
4RA13EC065,13,female,24,Urban,SSLC,PUC/Diploma,Medium,88,83,74,0,Yes,3,Yes,Yes,Good,Yes
4RA13EC066,13,female,24,Urban,SSLC,PUC/Diploma,Poor,53,48,60,0,Yes,5,No,No,Poor,No
4RA13EC068,13,male,24,Urban,PUC/Diploma,PUC/Diploma,Medium,44,46,60,0,Yes,3,No,No,Good,No
4RA13EC069,13,female,25,Urban,SSLC,PUC/Diploma,Rich,39,40,31,1,Yes,4,No,No,Good,No
4RA13EC070,13,male,24,Urban,SSLC,Degree,Poor,73,71,75,0,Yes,3,Yes,No,Good,Yes
4RA13EC071,13,male,24,Urban,SSLC,PUC/Diploma,Poor,79,89,74,0,Yes,4,No,Yes,Good,Yes
4RA13EC072,13,female,24,Urban,PUC/Diploma,PUC/Diploma,Medium,51,64,61,0,Yes,5,No,No,Poor,Yes
4RA13EC073,13,female,24,Urban,Degree,PUC/Diploma,Medium,87,73,82,0,No,4,No,Yes,Good,Yes
4RA13EC074,13,female,24,Urban,SSLC,SSLC,Rich,73,73,70,0,Yes,4,No,Yes,Good,No
4RA13EC075,13,female,24,Urban,SSLC,SSLC,Medium,56,68,71,0,Yes,5,No,No,Poor,No
4RA13EE001,13,female,24,Rural,Degree,PUC/Diploma,Medium,66,52,63,0,No,5,No,Yes,Good,No
4RA13EE002,13,female,24,Rural,SSLC,PUC/Diploma,Poor,75,87,81,0,No,4,No,No,Poor,No
4RA13EE003,13,male,24,Urban,PUC/Diploma,PUC/Diploma,Medium,59,50,37,0,No,4,Yes,No,Good,Yes
4RA13EE004,13,male,24,Urban,PUC/Diploma,PUC/Diploma,Medium,86,71,71,0,No,5,No,No,Good,Yes
4RA13EE006,13,male,24,Rural,Degree,PUC/Diploma,Medium,60,45,36,0,No,1,Yes,Yes,Good,No
4RA13EE007,13,male,24,Rural,PUC/Diploma,SSLC,Medium,78,81,78,0,Yes,2,No,No,Good,No
4RA13EE008,13,female,24,Rural,SSLC,Degree,Rich,95,83,83,0,Yes,3,Yes,Yes,Good,Yes
4RA13EE009,13,male,24,Rural,Degree,SSLC,Medium,48,61,60,0,No,3,No,No,Poor,No
4RA13EE010,13,male,24,Rural,SSLC,PUC/Diploma,Medium,75,81,78,0,Yes,3,No,No,Poor,Yes
4RA13EE011,13,male,24,Urban,Degree,PUC/Diploma,Rich,50,49,38,0,Yes,1,Yes,No,Good,Yes
4RA13EE012,13,female,26,Urban,SSLC,SSLC,Medium,33,36,30,2,Yes,3,No,Yes,Good,No
4RA13EE013,13,female,24,Rural,PUC/Diploma,PUC/Diploma,Rich,54,52,57,0,No,5,Yes,No,Good,No
